Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2026-03-26,49.09000015258789,108.80999755859375,61.52000045776367,49.04999923706055,161.27000427246094,132.5,81.13999938964844,40.290000915527344,45.33000183105469,145.74000549316406,108.83000183105469
2026-03-27,48.90999984741211,107.04000091552734,62.560001373291016,47.810001373291016,159.1999969482422,129.9199981689453,81.77999877929688,40.0099983215332,45.59000015258789,143.25999450683594,105.68000030517578
2026-03-30,49.09000015258789,107.95999908447266,61.959999084472656,48.36000061035156,156.61000061035156,127.5,81.87999725341797,40.209999084472656,45.91999816894531,143.82000732421875,105.66000366210938
2026-03-31,49.970001220703125,110.86000061035156,61.2599983215332,49.369998931884766,161.72999572753906,132.89999389648438,81.9800033569336,40.83000183105469,45.88999938964844,146.61000061035156,108.9800033569336
2026-04-01,50.459999084472656,111.23999786376953,58.970001220703125,49.439998626708984,164.42999267578125,134.91000366210938,81.45999908447266,40.95000076293945,46.11000061035156,147.72999572753906,109.80000305175781
2026-04-02,50.40999984741211,111.69999694824219,59.25,49.529998779296875,163.77000427246094,135.99000549316406,81.88999938964844,41.61000061035156,46.34000015258789,146.80999755859375,108.1500015258789
2026-04-06,50.220001220703125,111.76000213623047,59.68000030517578,49.880001068115234,164.61000061035156,136.77999877929688,82.66000366210938,41.7599983215332,46.16999816894531,146.27999877929688,109.04000091552734
2026-04-07,50.08000183105469,111.81999969482422,60.15999984741211,49.880001068115234,164.27999877929688,137.42999267578125,81.26000213623047,41.720001220703125,46.27000045776367,146.57000732421875,107.7699966430664
2026-04-08,51.75,113.80999755859375,58.04999923706055,51.20000076293945,170.44000244140625,141.69000244140625,82.77999877929688,42.439998626708984,46.779998779296875,149.6699981689453,110.81999969482422
2026-04-09,51.66999816894531,114.2699966430664,57.33000183105469,51.33000183105469,172.19000244140625,142.07000732421875,83.44999694824219,42.72999954223633,47.150001525878906,149.3300018310547,112.73999786376953
2026-04-10,51.959999084472656,113.94999694824219,56.939998626708984,50.77000045776367,171.52000427246094,142.6199951171875,82.37000274658203,42.81999969482422,46.959999084472656,147.30999755859375,112.88999938964844
2026-04-13,52.189998626708984,114.81999969482422,57.11000061035156,51.65999984741211,172.72999572753906,145.61000061035156,81.55000305175781,43.02000045776367,46.38999938964844,147.97000122070312,113.91999816894531
2026-04-14,52.0099983215332,116.55999755859375,55.95000076293945,51.779998779296875,173.35000610351562,147.94000244140625,81.47000122070312,43.43000030517578,46.470001220703125,148.8300018310547,116.44000244140625
2026-04-15,51.380001068115234,117.36000061035156,55.7599983215332,52.16999816894531,171.17999267578125,150.3000030517578,81.05999755859375,43.40999984741211,46.02000045776367,147.77000427246094,118.18000030517578
2026-04-16,51.75,118.83000183105469,56.58000183105469,52.029998779296875,170.3300018310547,152.02000427246094,81.43000030517578,43.810001373291016,46.349998474121094,146.61000061035156,117.62999725341797
2026-04-17,51.880001068115234,119.0999984741211,55.02000045776367,52.43000030517578,173.50999450683594,154.35000610351562,82.45999908447266,44.47999954223633,46.15999984741211,148.8000030517578,120.41000366210938
2026-04-20,52.22999954223633,118.75,55.06999969482422,52.630001068115234,173.89999389648438,154.55999755859375,82.38999938964844,44.63999938964844,45.75,147.4199981689453,119.87000274658203
2026-04-21,51.77000045776367,117.16000366210938,55.869998931884766,52.29999923706055,171.44000244140625,154.69000244140625,81.83999633789062,43.779998779296875,44.95000076293945,145.9199981689453,118.97000122070312
2026-04-22,51.83000183105469,117.87999725341797,56.540000915527344,52.209999084472656,171.0399932861328,158.08999633789062,82.11000061035156,43.459999084472656,44.869998931884766,146.3800048828125,118.93000030517578
2026-04-23,51.810001373291016,117.38999938964844,56.97999954223633,51.79999923706055,174.07000732421875,155.83999633789062,83.4800033569336,43.959999084472656,46.09000015258789,146.24000549316406,117.73999786376953
2026-04-24,51.91999816894531,115.54000091552734,56.869998931884766,51.41999816894531,172.47000122070312,160.22000122070312,83.2300033569336,43.83000183105469,46.18000030517578,144.17999267578125,118.69000244140625
2026-04-27,51.779998779296875,115.80999755859375,56.77000045776367,51.810001373291016,172.50999450683594,160.57000732421875,82.33999633789062,43.4900016784668,46.189998626708984,143.4600067138672,117.83999633789062
2026-04-28,51.400001525878906,115.75,57.709999084472656,51.849998474121094,170.97999572753906,157.85000610351562,83.08000183105469,43.90999984741211,46.25,143.83999633789062,117.01000213623047
2026-04-29,50.959999084472656,115.29000091552734,59.029998779296875,51.91999816894531,169.92999267578125,159.11000061035156,82.91999816894531,43.63999938964844,45.68000030517578,142.83999633789062,116.83999633789062
2026-04-30,51.470001220703125,116.51000213623047,59.650001525878906,52.130001068115234,174.5800018310547,159.5,84.30999755859375,44.400001525878906,46.849998474121094,145.99000549316406,118.3499984741211
2026-05-01,51.349998474121094,116.72000122070312,58.849998474121094,51.91999816894531,172.9600067138672,161.8699951171875,84.16999816894531,44.31999969482422,46.54999923706055,145.16000366210938,118.62999725341797
2026-05-04,50.650001525878906,116.0999984741211,59.38999938964844,51.58000183105469,170.97999572753906,162.0500030517578,83.54000091552734,44.08000183105469,46.369998931884766,144.72999572753906,117.72000122070312
2026-05-05,51.529998779296875,115.62999725341797,59.45000076293945,51.59000015258789,172.41000366210938,165.6300048828125,84.05999755859375,44.16999816894531,46.369998931884766,145.3000030517578,118.06999969482422
2026-05-06,52.40999984741211,117.3499984741211,57.0,51.84000015258789,176.8699951171875,170.02999877929688,84.23999786376953,44.7400016784668,45.709999084472656,145.39999389648438,119.87000274658203
2026-05-07,51.400001525878906,117.37999725341797,55.95000076293945,51.54999923706055,174.0,169.69000244140625,83.9800033569336,44.400001525878906,45.119998931884766,144.72000122070312,119.87999725341797
2026-05-08,51.59000015258789,116.94000244140625,55.70000076293945,51.2400016784668,173.1999969482422,175.52000427246094,84.18000030517578,44.40999984741211,44.720001220703125,143.49000549316406,120.19999694824219
2026-05-11,52.2599983215332,115.58000183105469,57.16999816894531,51.18000030517578,175.0399932861328,177.8800048828125,83.37000274658203,44.56999969482422,45.13999938964844,143.0399932861328,119.37000274658203
2026-05-12,52.13999938964844,115.86000061035156,57.56999969482422,51.58000183105469,174.35000610351562,175.1999969482422,84.44000244140625,44.58000183105469,45.189998626708984,145.85000610351562,118.29000091552734
